mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Activation of hippocampal MEK1,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
ERK (extracellular regulated kinase) signaling pathway modulation,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Upregulation of GlyRS and increased muscle protein synthesis, restoration of muscle ultrastructure",GlyRS,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Increased enkephalin in rVLM, δ-opioid receptor activation",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Inhibition of brain neuronal apoptosis and aberrant astrocyte activation,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Inhibition of microglial activation, attenuation of inflammation, oxidative stress, and apoptosis",microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Endogenous opioid pathways modulation,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Spinal cholinergic (M2, M3) and serotonergic (5-HT3) receptor mediation",5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Spinal serotonergic (5-HT1, 5-HT3) and muscarinic cholinergic receptor modulation",5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Reduced AT1R mRNA expression,AT1R,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Upper cervical cord modulation of afferent inputs to paraventricular nucleus,,Other,Other,Other,Other,Other,Other,Other,Other
"Alleviated ICC damage, reduced connexin 43 (Cx43) levels",ICC,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
CB1 cannabinoid receptor activation,cannabinoid,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Reduced oxidative stress, increased nitric oxide bioavailability, improved endothelial function",nitric oxide,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"ICC damage repair, immune system regulation",immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Downregulation of colonic nNOS expression,nNOS expression,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
VIP signalling activation and re-establishment of Th17/Treg cell balance,Treg,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"p-CREB expression downregulation in ACC, astrocytes, and microglia",CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Spinal p38 activity modulation,,Other,Other,Other,Other,Other,Other,Other,Other
BDNF expression upregulation,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Enteric glial cell activation, cholinergic anti-inflammatory mechanism",cholinergic anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Spinal opioidergic and adrenergic mechanisms, NMDA receptor NR2B suppression",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Cholinergic anti-inflammatory mechanism activation,cholinergic anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Autonomic pathway modulation, GI motility and hormone regulation",autonomic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
cAMP/PKA/CREB signaling pathway modulation,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Oligodendrocyte proliferation and anti-apoptotic effects,oligodendrocyte,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Cholinergic nerve-dependent mechanism activation,cholinergic nerve,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
BDNF level increase and neurogenesis amelioration,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
TNF-α/NF-κB signaling pathway modulation,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
IGF-1 signaling pathway upregulation and M2 macrophage activation,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Collagen fibril ultrastructure and reorganisation improvement,collagen fibril,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
GDNF and PI3K/Akt signal pathway activation,GDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Spinal GRK2 modulation,,Other,Other,Other,Other,Other,Other,Other,Other
Cell adhesion molecules upregulation and intracellular signalling,cell adhesion molecule,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Wnt/β-catenin signaling pathway upregulation and NPC proliferation,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
HIF-1α pathway modulation and adipose tissue inflammation reduction,HIF-1,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Inhibition of NADPH oxidase-mediated reactive oxygen species production,NADPH oxidase,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Regulation of eNOS function and NO production,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Nrf2-mediated antioxidant response and microglia activation inhibition,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the cholinergic pathway (vagus nerve),vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Improved intestinal mucosal immune barrier function,immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Increased mean arterial pressure and baroreflex sensitivity,baroreflex,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Regulation of spinal dorsal horn neuron activity,dorsal horn neuron,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Vagal nerve activity via α7nAChR subunit and inflammatory response limitation,inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of spinal IL-33/ST2 signaling and downstream ERK/JNK pathways,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Reduction of fatigue markers and neurotransmitter ratio modulation,neurotransmit,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Upregulation of NT-3, downregulation of IL-1β, and inhibition of spinal glial activity",NT-3,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Regulation of metabolic pathways in biofluids,,Other,Other,Other,Other,Other,Other,Other,Other
Reversal of hippocampal ERK and p38MAPK signaling suppression,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
IGF-1 signaling upregulation and enhanced muscle regeneration,IGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"TRPV1, TRPV4, and pERK modulation",ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Endogenous opioid system activation (β-endorphin release),opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
AT1R-ET-1-ETAR and NOS/NO pathway modulation,AT1R,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Upregulation of tight junction proteins (claudin-5, occludin, ZO-1)",tight junction,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"c-Kit signaling pathway, reduction of pro-inflammatory mediators, ICC plasticity modulation",pro-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Increased cerebral blood perfusion and glycol metabolism,cerebral blood,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"MMP2, AQP4, AQP9 expression modulation and inflammatory cell infiltration reduction",inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Upregulation of Angiopoietin-1 and -2,angiopoietin,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
HSP70 and TNF-α expression modulation,TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"ERK1/2 signaling pathway activation, cell cycle protein modulation",ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activating the cholinergic anti-inflammatory pathway,cholinergic anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Cerebral TRPV4 expression reduction, spinal segmental and gate effects",TRPV4,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Vagus nerve activation leading to dopamine production in adrenal medulla,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Notch signaling pathway activation, neurotrophic factor secretion (BDNF, GDNF)",BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"PI3K/Akt signaling pathway activation, anti-apoptotic effects",PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"JNK1/2 signaling pathway inhibition, COX-2 expression reduction",COX-2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
P2X3 receptor inhibition on primary afferent transmission,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"Opioid receptor activation, p-ERK and Fos inhibition",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Viscerosomatic convergence-facilitation effect of WDR and SRD neurons,ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
IL-10 activation and iNOS inhibition,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
White adipose tissue browning via UCP1 induction,UCP1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Autonomic nervous system balance, anti-inflammation, anti-apoptosis, anti-oxidative stress",autonomic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Hypothalamic-pituitary-adrenal (HPA) axis modulation via CRF,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Orexin A and receptor downregulation, anti-inflammatory effects",anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Amelioration of hippocampal mossy fiber sprouting,mossy fiber sprouting,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
ERK1/2-COX-2 and ERK1/2-CREB-NK-1 pathway inhibition,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"TRPA1, PKCα, PKCε, and pERK1/2 signaling pathways modulation",ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Macrophage recruitment reduction and lipogenesis signaling attenuation,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Vagus nerve and catecholamine-dependent mechanisms (TNF reduction),TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Immune modulation via NK cells and cytokine levels,cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Involvement of opioid receptors (μ-, δ-) and serotonergic system (5-HT1A, 5-HT3 receptors)",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Inhibiting activation of spinal p38 MAPK/ATF-2/VR-1 pathway,p38 MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Decreasing expression of Nav1.7 and Nav1.8 sodium channels in DRG neurons,SOD,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Counteracting tau hyperphosphorylation and increasing NGF and choline acetyltransferase (modulating brain cholinergic system),NGF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Regulation of hypothalamic glucose metabolism and expression of multiple proteins,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Attenuation of cerebral blood flow (CBF) and AT1R, ETAR, ET-1 pathway",cerebral blood,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Decreasing the response of P2X3 receptors to agonists in the DRG,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Accelerated angiogenesis by up-regulating HIF-1α protein,angiogenesis,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Modulating NGF signaling, decreasing NGF/NGF receptors, normalizing JNK/p38 kinases, decreasing TRPV1, activating Nf-κB",NGF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of the cholinergic anti-inflammatory-dependent mechanism (via vagus nerve and α7nAChR),cholinergic anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Blocking chronic stress-induced elevations in HPA axis and sympathetic NPY pathway,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Maintaining intestinal barrier function and improving intestinal microcirculation,intestinal barrier,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
β-endorphin production that balances Th1/Th2 and Th17/Treg responses,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Inhibition of NF-κB signaling pathway and CBS expression,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Reducing P2X3 receptor expression via the ERK1/2 signaling pathway,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Down-regulation of inflammatory cytokines (TNF-α, IL-1β) and MDA (antioxidant effect)",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of retinoic acid signaling pathway,retinoic acid,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Up-regulation of POMC production in NTS/HN and TRPV1-nNOS expression through afferents-medulla pathway,nNOS expression,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
No Abstract,,Other,Other,Other,Other,Other,Other,Other,Other
Mediation by μ-opioid and δ-opioid receptors,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Mediation by alpha2- and beta-adrenoceptors,adrenoceptor,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Suppression of TLR4/NF-κB pathway-mediated inflammation,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Attenuation of apelin expression and function in the RVLM,Apelin,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Modulation of firing rate of gastric-related neurons in SDH and NTS,firing rate,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Astrocyte structural integrity maintenance,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Synaptic remodeling in hypothalamic paraventricular nucleus,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
PGC-1α and UCP-1 expression induction in brown adipose tissue,PGC-1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Inhibition of ICC apoptosis and enhancement of ICC proliferation,LIF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Activation of cannabinoid CB1 receptor and upregulation of D1/D2 dopamine receptors,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Hypothalamic dopamine beta-hydroxylase (DBH) gene expression modulation,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Modulation of intramuscular ICC apoptosis and proliferation,LIF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"SCF/c-kit pathway modulation, restoration of ICCs",ICC,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
"Reduction of tumor-associated vasculature, lymphatics, and innervation",tumor-associated vasculature,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Vagus nerve activation / Cholinergic anti-inflammatory mechanism,cholinergic anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of ERK signaling pathway,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Facilitating SRD neuron activity to acupoint stimulation, enhancing WDR neuron activity",SRD neuron,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Inhibiting TRPV1 upregulation in ipsilateral undamaged dorsal root ganglia,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Vagal pathway involving inflammatory cytokine IL-6,IL-6,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibitory modulation of hyperactivity of neurons by down-regulating NR1 and c-fos expression in RVM,RVM,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Reduction of proinflammatory cytokines (IL-1β, IL-6, TNF-α) in peripheral nerves and DRG",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulating CD4(+)CD25(+) Regulatory T cells (Treg) population and enhancing Treg function,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of leptin and leptin receptor expression in the hypothalamus,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Inhibition of microglial activation and attenuation of oxidative stress (reduced ROS/MDA, increased SOD)",microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of spinal p38 MAPK activation,p38 MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Reduced pathological indexes, improved histology, and inhibited ECM expression (α-smooth muscle actin, fibronectin, α1(1) collagen)",ECM expression,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
