disease_string,matched_keyword,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Chronic visceral hyperalgesia,hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Abnormal defaecation,defaecation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Intestinal Ischemia-Reperfusion injury,ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Muscle atrophy,muscle atrophy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Acute bowel injury,bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Postoperative hyperalgesia,hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
focal cerebral ischemia,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Smoke exposed lung damage,lung damage,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Myasthenia gravis,myasthenia gravis,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Inhibited gastric motility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Tendon injury,tendon,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Intestinal ischemia,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Pain memory,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Intestinal dysfunction,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Septic brain injury,brain injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Intragastric pressure damage,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Heat,,Other,Other,Other,Other,Other,Other,Other
Gastroenteric disorders,gastroenteric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Neurogenic bowel dysfunction,bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Post-operative pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Gut barrier dysfunction,gut,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Abdominal adhesion,abdominal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Burn injury,burn,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Trauma-induced immunosuppression,immunosuppress,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Gastrointestinal (GI) symptoms,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Blood stasis,blood stasis,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Heart failure,heart,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Visceral nociception,nocicepti,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Fatigue,fatigue,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Gastric mucosal lesion (GML),gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Myopathy,myopathy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Bowel obstruction,bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diabetic polyneuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Gut ischemia,gut,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Multiple sclerosis,multiple sclerosis,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Painful diabetic neuropathy,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chronic obstructive pulmonary disease,pulmonary disease,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Alopecia areata,alopecia,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Osteoarthritic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Gastrointestinal motility disorder,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diabetic constipation,constipation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Osteosarcoma,sarcoma,Other,Other,Other,Other,Other,Other,Cancer/Oncology
Visceral inflammation,inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Burn-induced gastric dysmotility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Hepatic fibrosis,hepatic,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Stress-related disorders,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Alcohol abuse,alcohol,Other,Other,Other,Other,Other,Addiction,Addiction
"Neuropathic pain, Memory impairment",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Inflammatory disease,inflammatory disease,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
"Tumor-induced pain, Tumor-associated inflammation",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Obesity, Diabetes",diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Sensory neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Allergic disorder,allerg,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Amyotrophic lateral sclerosis,amyotrophic,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Alcoholism,alcohol,Other,Other,Other,Other,Other,Addiction,Addiction
Neurological disorders,neurological disorder,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Autonomic dysfunction,,Other,Other,Other,Other,Other,Other,Other
Surgical trauma,surgical trauma,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Memory impairments,memory impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Spontaneous hypertension,hypertension,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Neurogenic inflammation,inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
learning and memory impairment,,Other,Other,Other,Other,Other,Other,Other
